min_df,max_df,max_features,accuracy
0.20357586235165898,0.319930552222924,916,0.7185714285714286
0.7290941402113262,0.8338722434860186,442,0.5457142857142857
0.27536132320135903,0.4617224374597072,1243,0.7285714285714285
0.11119218894858623,0.16313432142164408,1387,0.7378571428571428
0.678997486202581,0.9241969328270463,482,0.5635714285714285
0.06097622909857214,0.30187890377268944,1363,0.8221428571428572
0.48091971427619135,0.7579415921728788,123,0.702857142857143
0.10982822315459345,0.5729836146812007,1088,0.8057142857142858
0.4353717188517795,0.6378520466470845,1015,0.7071428571428573
0.4955372484824681,0.7171014247015784,510,0.692857142857143
0.7508917508566709,0.9626574672425814,1112,0.5142857142857142
0.3670309686871258,0.9468529372918612,1041,0.7457142857142857
0.17909823510164746,0.9102741866384808,788,0.794285714285714
0.31482944743826125,0.41037364020863015,420,0.692857142857143
0.25004380172976387,0.7985030697560347,253,0.7764285714285715
0.6508617691751017,0.9922103202115307,384,0.5692857142857142
0.24004332163971154,0.39833606904944346,306,0.7271428571428572
0.0037768957509177192,0.530642530073322,191,0.7728571428571428
0.1694616417830075,0.2244584193431426,900,0.6957142857142858
0.3352312293973349,0.5538530139420174,360,0.6892857142857143
0.030676204467544765,0.6090335391362852,563,0.8264285714285715
0.08382625531865057,0.8020829713519143,866,0.8221428571428571
0.3092776881867156,0.7338588465017591,1318,0.7592857142857145
0.21157205434223453,0.9896159929414876,619,0.7771428571428572
0.7290941402113262,0.8338722434860186,339,0.5457142857142857
0.2305366985188202,0.8866058800881366,578,0.7750000000000001
0.4634616806303188,0.9255756907807955,797,0.7092857142857143
0.1356432070351759,0.8176095738276785,221,0.8164285714285716
0.12959445260712915,0.3533768608482487,208,0.7985714285714287
0.3203657170567885,0.6378520466470845,216,0.7364285714285712
0.7037645255401128,0.9974518401716089,886,0.5535714285714285
0.600114348902854,0.716563745837436,161,0.5464285714285713
0.5132745109423639,0.5271953162159453,44,0.5035714285714286
0.2362788439151542,0.333294440169205,515,0.7078571428571429
0.2266185643328391,0.9626574672425814,595,0.777142857142857
0.0788664827692,0.5828073659828232,932,0.8085714285714286
